BW_Used,Option-6,Option-2
61.1,18.413,15.488
56.4,13.994,11.069
51.7,8.0326,5.1076
51.7,6.7632,3.8382
51.7,8.4177,5.4927
47,11.315,8.39
47,12.74,9.8153
47,14.468,11.543
56.4,15.996,13.071
56.4,15.884,12.959
56.4,15.525,12.6
65.8,19.254,16.329
70.5,22.198,19.273
70.5,24.943,22.018
79.9,27.574,24.649
79.9,27.724,24.799
84.6,27.929,25.004
79.9,28.164,25.239
89.3,31.319,28.394
98.219,38.564,35.639
99.027,45.752,42.827
99.77,45.954,43.029
97.808,44.036,41.111
99.878,38.376,35.451
75.2,26.813,23.888
